🐘河南频道,#genre#
河南卫视,http://p.ytelc.com/169l/henan/henan.php?id=henan
河南都市,http://p.ytelc.com/169l/henan/henan.php?id=hntv2
河南民生,http://p.ytelc.com/169l/henan/henan.php?id=hntv3
河南法治,http://p.ytelc.com/169l/henan/henan.php?id=hntv4
河南电视剧,http://p.ytelc.com/169l/henan/henan.php?id=hntv5
河南新闻,http://p.ytelc.com/169l/henan/henan.php?id=hntv6
河南欢腾购物,http://p.ytelc.com/169l/henan/henan.php?id=hntv7
河南公共,http://p.ytelc.com/169l/henan/henan.php?id=hntv8
河南新农村,http://p.ytelc.com/169l/henan/henan.php?id=hntv9
河南梨园,http://p.ytelc.com/169l/henan/henan.php?id=liyuan
河南文物,http://p.ytelc.com/169l/henan/henan.php?id=wwbk
河南武术,http://p.ytelc.com/169l/henan/henan.php?id=wssj
河南曲艺,http://p.ytelc.com/169l/henan/henan.php?id=hntv11

📺中央频道,#genre#
CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11,http://222.169.85.8:9901/tsfile/live/0011_1.m3u8
CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
CCTV15,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8
CCTV16,http://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv16_1_td.m3u8
CCTV17,http://222.169.85.8:9901/tsfile/live/0007_1.m3u8

📡卫视频道,#genre#
湖南卫视,http://112.80.203.154:9003/hls/29/index.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
北京卫视,http://iptv.huuc.edu.cn/hls/bjhd.m3u8
深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
江西卫视,http://iptv.huuc.edu.cn/hls/jxhd.m3u8
天津卫视,http://112.80.203.154:9003/hls/37/index.m3u8
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
山东卫视,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
辽宁卫视,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
贵州卫视,http://112.80.203.154:9003/hls/43/index.m3u8
河北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
河南卫视,http://iptv.huuc.edu.cn/hls/hnhd.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
广东卫视,http://112.80.203.154:9003/hls/30/index.m3u8
云南卫视,http://112.80.203.154:9003/hls/46/index.m3u8
